Category,Value,Order,Question,Answer
ANIMATED MOVIES,$400,7,This co-star of “Nash Bridges” returned in “The Lion King 1½” as the voice of Bonzai the hyena,Cheech Marin
ANIMATED MOVIES,$600,8,"(Hi, I’m Clay Aiken.)  For my movie song on “American Idol” I sang “Somewhere Out There” from this animated film",An American Tail
ANIMATED MOVIES,$800,9,"Ray Romano, John Leguizamo & Denis Leary voiced the “sub-zero heroes” in this 2002 flick",Ice Age
ANIMATED MOVIES,$1000,10,Former “SCTV” siblings Rick Moranis & Dave Thomas voiced moose siblings in this animal adventure,Brother Bear
ASTRONOMY,$400,17,"In 1672 Giovanni Cassini determined the distance from the Earth to this, creating a new measuring unit, the Au",the sun
ASTRONOMY,$800,18,In 1679 Danish astronomer Ole Romer was the first to figure out the speed of this,light
ASTRONOMY,$1200,20,Term for the astronomical event that heralds the beginning of summer,the solstice
ASTRONOMY,"DD: $5,200",21,To an astronomer UMa is an abbreviation for this constellation,Ursa Major
ASTRONOMY,$2000,22,A large crater on Saturn’s moon Mimas is named for the British astronomer who discovered the moon in 1789,William Herschel
DETECTIVE FICTION,$200,1,The original author’s last story about this detective was “The Adventure of Shoscombe Old Place”,Sherlock Holmes
DETECTIVE FICTION,$400,2,"In “The Big Sleep” he says, “I’m 33 years old, went to college once & can still speak English if there’s any demand for it”",Marlowe
DETECTIVE FICTION,$600,3,"In the April 1841 Graham’s Lady’s and Gentleman’s Magazine, this editor published his new detective story",Poe
DETECTIVE FICTION,$800,4,She also created the detectives Tuppence & Tommy Beresford,Agatha Christie
DETECTIVE FICTION,$1000,5,“A Taste for Death” is one of P.D. James’ novels about this Scotland Yard detective and published poet,Adam Dalgliesh
MAGAZINES & NEWSPAPERS,$400,1,This magazine’s website says it’s “more than a magazine to Black America… it’s a way of life”,Ebony
MAGAZINES & NEWSPAPERS,$800,2,In 2004 this magazine’s website featured a remote camera to watch the migrating sandhill cranes in Nebraska,National Geographic
MAGAZINES & NEWSPAPERS,$1200,8,The USA’s 2 top-selling magazines are Reader’s Digest & TV Guide; this “Better” magazine comes in third,Better Homes and Gardens
MAGAZINES & NEWSPAPERS,$1600,9,In March 2004 Arnold Schwarzenegger became executive editor of the magazine called Muscle & this,Fitness
MAGAZINES & NEWSPAPERS,"DD: $5,800",10,This largest newspaper chain owns the Des Moines Register & about 100 other papers,Gannett
RADIO,,,,
RADIO,$800,29,2-word term for the peak listening period when rush hour commuters are in their cars,drive time
RADIO,$1200,28,"Casey Kasem created the long distance one of these & is heard here reading one:""This letter comes from a teenager in Washington, D.C. who learned that it's better to give than receive.  Here's what she writes: 'Dear Casey...'""",a dedication
RADIO,$1600,16,Iman is a model; this I-Man is this radio personality,Don Imus
RADIO,$2000,19,The 2 words that followed “Lux” in a program beginning in 1936 that re-created plays & movies,Radio Theater
SAM I AM,$200,26,A cousin of this telegraph & code inventor set up the famous Pebble Beach golf course,Samuel Morse
SAM I AM,$400,27,"Samuel Chase, Samuel Nelson, Samuel Miller & Samuel Blatchford all served on this august body",the Supreme Court
SAM I AM,$600,28,This man who had just a cameo in 1990’s “The Return of Superfly” became “Shaft” in 2000,Samuel L. Jackson
SAM I AM,$800,29,"During this 1846-48 war, the U.S. Army bought 1,000 of Samuel Colt’s revolvers",Mexican War
SAM I AM,$1000,30,In 1865 this man set John Wilkes Booth’s broken leg,Samuel Mudd
SCRAMBLED VEEPS,$200,16,OGRE,(Al) Gore
SCRAMBLED VEEPS,$400,17,WE NAG,(Spiro) Agnew
SCRAMBLED VEEPS,$600,18,LEMON AD,(Walter) Mondale
SCRAMBLED VEEPS,$800,19,FLOCK REELER,(Nelson) Rockefeller
SCRAMBLED VEEPS,$1000,20,CLAW ALE,(Henry A.) Wallace
THAT'S OUR ISLAND!!!,$400,3,Guernsey,England
THAT'S OUR ISLAND!!!,$800,4,Baffin Island,Canada
THAT'S OUR ISLAND!!!,$1200,5,Corfu,Greece
THAT'S OUR ISLAND!!!,$1600,6,The Canary Islands,Spain
THAT'S OUR ISLAND!!!,$2000,7,Bimini,Bahamas
THE 20th CENTURY,$200,11,From 1920 to 1946 this Swiss city served as the seat of the League of Nations,Geneva
THE 20th CENTURY,$400,12,"On April 18, 1983 a terrorist bomb at the U.S. embassy in this mideastern capital killed 63, including 17 Americans",Beirut
THE 20th CENTURY,$600,13,In 1981 this labor union was outlawed in Poland; 8 years later it was legalized,Solidarity
THE 20th CENTURY,$800,14,In May 1954 President Eisenhower signed a bill authorizing the construction of this North American waterway,St. Lawrence Seaway
THE 20th CENTURY,$1000,15,"Unable to run for a third term as Pres. of Serbia, he made himself Pres. of Yugoslavia on July 23, 1997",Slobodan Milosevic
TOYS & GAMES,$200,21,You win in this game by getting the rope with a sphere attached wrapped completely around the pole,tetherball
TOYS & GAMES,$400,22,"Now called this, it was introduced around 1928 as Hop Ching checkers",Chinese checkers
TOYS & GAMES,$600,23,Mattel has set this classic boxing toy in a video game “arena”,Rock \'Em Sock \'Em Robots
TOYS & GAMES,"DD: $3,000",24,The name of this game that uses 144 small tiles comes from a word meaning “sparrows”,Mah Jongg
TOYS & GAMES,$1000,25,The piece you try to capture in Stratego has one of these on it,a flag
A PEANUTS TIMELINE,$200,1,"November 16, 1952:For the first time, she holds a football for Charlie Brown to kick",Lucy
A PEANUTS TIMELINE,$400,2,"July 20, 1971:Marcie first calls this character ""Sir""",Peppermint Patty
A PEANUTS TIMELINE,$600,3,"August 23, 1959:She joins Charlie Brown's family as his younger sister",Sally
A PEANUTS TIMELINE,$800,4,"September 24, 1990:This hygiene-challenged boy runs for class president",Pig-Pen
A PEANUTS TIMELINE,$1000,5,"September 1, 1991:This young virtuoso becomes a spokesman for National Piano Month",
CAR TREK,$200,26,The Continental & the Town Car are models from this Ford division,Lincoln
CAR TREK,$400,27,"In a Stephen King-based movie, this title vehicle was a red 1958 Plymouth Fury",Christine
CAR TREK,$600,28,"In 1964, the first year of its release, this popular muscle car was the Indy 500 pace car",a Mustang
CAR TREK,$800,29,The LS 400 and the ES 250 were the first models of this luxury car line from Toyota,Lexus
CAR TREK,$1000,30,"The Rio is from Kia, which is owned by this South Korean automaker",Hyundai
FAMOUS KENTUCKIANS,$400,2,"This movie heartthrob isn't ""From Hell"" or from ""Sleepy Hollow""; he's from Owensboro, Ky.",Johnny Depp
FAMOUS KENTUCKIANS,$800,3,"(Jimmy of the Clue Crew sits at a table in the Seelbach Hilton in Louisville, KY.)  This boxing legend known as the Louisville Lip loves to dine here at the Oak Room when he's visiting his hometown",Muhammad Ali
FAMOUS KENTUCKIANS,"DD: $3,000",4,"Her brother Nick, nephew George & friend Al Pacino all attended her 2002 funeral in Maysville, Ky., her hometown",
FAMOUS KENTUCKIANS,$1600,5,"Good morning to this newswoman, who's seen here in 1963, when she was America's Junior Miss",Diane Sawyer
FAMOUS KENTUCKIANS,$2000,6,"In the '40s & '50s this Kentucky-born hunk starred in biblical films like ""The Robe"" & ""Samson and Delilah""",Victor Mature
GEOLOGY,$400,17,This rock from Georgia was used to sculpt the statue of Lincoln in the Lincoln Memorial,marble
GEOLOGY,$800,18,"Crude oil can be extracted from this rock, the most abundant sedimentary rock in the Earth's crust",shale
GEOLOGY,$1200,19,"The Hawaiian islands consist mostly of this hard, dark volcanic rock",basalt
GEOLOGY,"DD: $7,000",20,"Due to its luster, German miners gave this ""pleasant"" rock its name, which means ""spark""",gneiss
GEOLOGY,$2000,21,The Pilgrim Monument in Provincetown is the tallest structure in the U.S. made entirely of this,granite
MISHMASH,$400,1,This veggie was almost uneaten in the U.S. until the D'Arrigo Bros. Produce Company started marketing it in the 1920s,broccoli
MISHMASH,$800,27,"If your stylist puts humectant conditioner in your hair, it's most likely because your hair is this",dry
MISHMASH,$1200,28,"At an estate sale, Carl Rice spent $60 on 2 of these by Martin Johnson Heade; they later sold for over $1 million",paintings
MISHMASH,$1600,29,"Oaxaca is ""the land of 7"" of these rich sauces, including the negro & verde types",molés
MISHMASH,$2000,30,"These political ""issues"" get their name because they can split apart a unified movement",wedge issues
MUSIC,$400,12,"In a Billy Joel hit, she's ""looking for a downtown man""",an Uptown Girl
MUSIC,$800,13,"Critics love this 10-letter adjective to describe music resembling ""Lay Lady Lay"" or ""Like A Rolling Stone""",Dylanesque
MUSIC,$1200,14,(Typewriter) keyboardist Paul Ackerman entered the R&R; Hall of Fame by editing this music journal for 30 years,Billboard
MUSIC,$1600,15,The riff heard here kicks off a recent album by this band,The White Stripes
MUSIC,$2000,16,"""Stoned"" is a memoir of '60s London by this then-manager of the Rolling Stones",Andrew Oldham
"ON THE ""PHONE""",$400,22,The branch of linguistics dealing with the sounds of speech,phonetics
"ON THE ""PHONE""",$800,23,2 words that sound alike but are spelled differently,homophones
"ON THE ""PHONE""",$1200,24,Daughter of Zeus & Demeter,Persephone
"ON THE ""PHONE""",$1600,25,An English language speaker,an Anglophone
"ON THE ""PHONE""",$2000,26,The smallest unit in a language capable of conveying distinction in meaning,a phoneme
POP CULTURE AMERICA,$200,16,The Harlem Globetrotters were founded in this city famous for its blues & its fire,Chicago
POP CULTURE AMERICA,$400,17,"In the 1940s if you weren't commie enough to be ""red"" people used this 5-letter epithet that was a shade lighter",pinko
POP CULTURE AMERICA,$600,18,Object associated with the Lone Ranger & with Bob Seger's Band,a silver bullet
POP CULTURE AMERICA,$800,19,"In alphabetical order, the 3 spokesmen for Rice Krispies",
POP CULTURE AMERICA,$1000,20,"The Winchester '73 and the Colt .45 have both been referred to as ""the gun that"" did this",won the West
RELIGIOUS TITLES,$400,7,"Resh kallah,rebbe",Judaism
RELIGIOUS TITLES,$800,8,"Sharif,ayatollah",Islam
RELIGIOUS TITLES,$1200,9,"Babu,jagadguru",Hinduism
RELIGIOUS TITLES,$1600,10,"Bhai,sardar",Sikhism
RELIGIOUS TITLES,$2000,11,T'ien shih,Taoism
RIVER SOURCES,$200,11,"If you’re rowin’ the Rhone from start to finish, you begin in this mountain range",the Alps
RIVER SOURCES,$400,12,The Krishna starts near one coast of this country & flows almost all the way across it,India
RIVER SOURCES,$600,13,It doesn’t have its distinct color yet when it emerges in Qinghai Province,the Yellow River
RIVER SOURCES,$800,14,It's formed by the junction of the Luvua & Lualaba in the country named for it,the Congo
RIVER SOURCES,"DD: $2,200",15,This Mideastern boundary river rises on the slopes of Mount Hermon,the Jordan
WHAT A CHARACTER!,$200,6,A murder suspect named Injun Joe,The Adventures of Tom Sawyer
WHAT A CHARACTER!,$400,7,Troubled Air Force Captain John Yossarian,Catch-22
WHAT A CHARACTER!,$600,8,A small slave girl named Topsy,Uncle Tom’s Cabin
WHAT A CHARACTER!,$800,9,Professor Henry Higgins,Pygmalion
WHAT A CHARACTER!,$1000,10,Marooned sailor Ben Gunn,
"YOU'RE ""GOLDEN"", BABY",$200,21,The USA's tallest bridge towers are the 746-foot steel peaks of this structure,the Golden Gate Bridge
"YOU'RE ""GOLDEN"", BABY",$400,22,This NBA team took the 1975 championship,the Golden State Warriors
"YOU'RE ""GOLDEN"", BABY",$600,23,It's the second-most registered dog breed at the American Kennel Club,a golden retriever
"YOU'RE ""GOLDEN"", BABY",$800,24,Jason stole it for his Uncle Pelias,the Golden Fleece
"YOU'RE ""GOLDEN"", BABY",$1000,25,Sir James Frazer compared mythologies & religions in this work,The Golden Bough
'80s SONGS,$400,14,"This duo dedicated a 1984 to ""All the girls who shared my life who are now someone else's wives""",Willie Nelson and Julio Iglesias
'80s SONGS,$800,15,"This 1980 No. 1 hit was the theme from the movie ""American Gigolo""","""Call Me"""
'80s SONGS,$1200,16,"The video for this song, Toni Basil's only hit, featured cheerleaders",
'80s SONGS,$1600,17,"This Pat Benatar song says, ""You come on like a flame, then you turn a cold shoulder""","""Fire And Ice"""
'80s SONGS,$2000,18,"A Belgian DJ created this studio group that had hits with ""Pump Up The Jam"" and ""Move This""",Technotronic
19th CENTURY AMERICA,$400,1,"Accepting the GOP nomination for U.S. Senate in 1858, he said ""A house divided against itself cannot stand""",Abraham Lincoln
19th CENTURY AMERICA,$800,2,"Completed in June 1854, the lighthouse on this island in San Francisco Bay was the West Coast's first active one",Alcatraz
19th CENTURY AMERICA,$1200,3,In April 1824 the U.S. & this country agreed to 54 deg. 40 min. N. latitude as the southern limit of its west coast claims,Russia
19th CENTURY AMERICA,$1600,4,"This 19th C. glass was named for the Massachusetts village where it was made, not for a club or a dagwood",Sandwich glass
19th CENTURY AMERICA,$2000,5,"On July 4, 1828 President John Quincy Adams broke ground for this canal, known as the C&O;",the Chesapeake & Ohio Canal
A PROVERBIAL MESS,$200,26,Good one deserves another turn,one good turn deserves another
A PROVERBIAL MESS,$400,27,Boils never watched a pot,a watched pot never boils
A PROVERBIAL MESS,$600,28,Dogs lie sleeping let,let sleeping dogs lie
A PROVERBIAL MESS,$800,29,Once twice shy bitten,once bitten twice shy
A PROVERBIAL MESS,$1000,30,A color different of a horse,a horse of a different color
CANADIAN PROVINCIAL CAPITALS,$400,6,"In the mid-1880s, it was the capital of the Crown colony of Vancouver Island",Victoria
CANADIAN PROVINCIAL CAPITALS,$800,7,It's the only provincial capital that lies on the shore of one of the Great Lakes,Toronto
CANADIAN PROVINCIAL CAPITALS,$1200,8,"Lying about 175 miles north of Calgary, it's known as the ""Gateway to the North""",Edmonton
CANADIAN PROVINCIAL CAPITALS,"DD: $4,000",9,This capital's harbor is spanned by the Angus L. MacDonald & A. Murray MacKay suspension bridges,
CANADIAN PROVINCIAL CAPITALS,$2000,10,It's the provincial capital closest to Europe,St. John\'s
FLOWER POWER,$400,21,"By dropping 2 letters in Osiris' name, you get this Greek goddess who shares her name with a flower",Iris
FLOWER POWER,$800,22,"I can't recall the last time that I saw one of these hyphenated perennials, from the Old French ""Ne m'oubliez mie""",forget-me-not
